Class Name, Initialization Kind, Reason for Initialization
com.arjuna.ats.internal.arjuna.objectstore.ShadowNoFileLockStore, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.ShadowingStore, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.JDBCImple_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.JDBCStore, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.accessors.DirectDataSourceJDBCAccess, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.edb_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.enterprisedb_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.h2_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.ibm_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.jconnect_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.mariadb_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.microsoft_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.mysql_ab_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.arjuna.ats.internal.arjuna.objectstore.jdbc.drivers.mysql_driver, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
