timestamp	route	count	firstDetail
1784813658221	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1689KB > 512KB
1784813658301	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1629KB > 512KB
1784813659080	/basquin/search?q=chew&cat=	2	latency: 517ms > 250ms
1784813659212	/roller-ui/login.rol	1	heapDelta: 1738KB > 512KB
1784813659440	/roller-ui/menu.rol	1	heapDelta: 1684KB > 512KB
1784813659520	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1778KB > 512KB
1784813659681	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1666KB > 512KB
1784813659760	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1568KB > 512KB
1784813659959	/basquin/category/Misc	1	heapDelta: 5544KB > 512KB
1784813660098	/basquin/date/20260701	1	heapDelta: 1835KB > 512KB
1784813660489	/roller-ui/login.rol	1	heapDelta: 1690KB > 512KB
1784813660689	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1635KB > 512KB
1784813660876	/basquin/feed/entries/rss?cat=Tech	1	heapDelta: 8649KB > 512KB
1784813661136	/roller-ui/login.rol	1	heapDelta: 1695KB > 512KB
1784813661336	/roller-ui/menu.rol	1	heapDelta: 1593KB > 512KB
1784813661415	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1638KB > 512KB
1784813661494	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1657KB > 512KB
1784813661574	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1647KB > 512KB
1784813661652	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1654KB > 512KB
1784813661791	/basquin/date/20260720	1	heapDelta: 1654KB > 512KB
1784813661931	/roller-ui/login.rol	1	heapDelta: 4851KB > 512KB
1784813662161	/roller-ui/menu.rol	1	heapDelta: 1812KB > 512KB
1784813662240	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1663KB > 512KB
1784813662320	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1496KB > 512KB
1784813662399	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1743KB > 512KB
1784813662479	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1684KB > 512KB
1784813663777	/basquin/search?q=paragraph	2	latency: 517ms > 250ms
1784813664433	/basquin/search?q=entry	1	latency: 522ms > 250ms
1784813664565	/roller-ui/login.rol	1	heapDelta: 1627KB > 512KB
1784813664795	/roller-ui/menu.rol	1	heapDelta: 1741KB > 512KB
1784813664875	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1734KB > 512KB
1784813664955	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1635KB > 512KB
1784813665035	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1562KB > 512KB
1784813665115	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1613KB > 512KB
1784813665766	/basquin/search?q=velocity	2	latency: 517ms > 250ms
1784813665949	/basquin/entry/bench-entry-40	1	heapDelta: 2493KB > 512KB
1784813666086	/roller-ui/login.rol	1	heapDelta: 4897KB > 512KB
1784813666314	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1607KB > 512KB
1784813666808	/basquin/date/202603	1	heapDelta: 845KB > 512KB
1784813666940	/roller-ui/login.rol	1	heapDelta: 1635KB > 512KB
1784813667168	/roller-ui/menu.rol	1	heapDelta: 1680KB > 512KB
1784813667248	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1623KB > 512KB
1784813667327	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1730KB > 512KB
1784813667406	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1699KB > 512KB
1784813667486	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1571KB > 512KB
1784813668117	/basquin/search?q=paragraph	2	latency: 516ms > 250ms
1784813668381	/roller-ui/login.rol	1	heapDelta: 1679KB > 512KB
1784813668520	/basquin/category/Tech?page=1	1	heapDelta: 851KB > 512KB
1784813669300	/basquin/search?q=analyzer	2	latency: 517ms > 250ms
1784813669839	/roller-ui/menu.rol	1	heapDelta: 1659KB > 512KB
1784813669918	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1675KB > 512KB
1784813669997	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1614KB > 512KB
1784813670076	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1573KB > 512KB
1784813670160	/roller-ui/admin/globalConfig.rol	1	heapDelta: 4884KB > 512KB
1784813670293	/roller-ui/login.rol	1	heapDelta: 1615KB > 512KB
1784813670521	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1643KB > 512KB
1784813671312	/basquin/search?q=analyzer	2	latency: 518ms > 250ms
1784813672090	/basquin/search?q=lucene	2	latency: 517ms > 250ms
1784813672736	/basquin/search?q=chew	2	latency: 517ms > 250ms
1784813672875	/roller-ui/register.rol	1	heapDelta: 2882KB > 512KB
1784813673549	/basquin/search?q=velocity	2	latency: 517ms > 250ms
1784813673682	/roller-ui/login.rol	1	heapDelta: 1599KB > 512KB
1784813673811	/roller-ui/login.rol	1	heapDelta: 1671KB > 512KB
1784813674074	/roller-ui/login.rol	1	heapDelta: 1735KB > 512KB
1784813674282	/roller-ui/menu.rol	1	heapDelta: 4807KB > 512KB
1784813674361	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1672KB > 512KB
1784813674441	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1793KB > 512KB
1784813674602	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1590KB > 512KB
1784813675238	/basquin/search?q=dkvbznv	2	latency: 506ms > 250ms
1784813675372	/roller-ui/login.rol	1	heapDelta: 1561KB > 512KB
1784813675601	/roller-ui/menu.rol	1	heapDelta: 1660KB > 512KB
1784813675680	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1641KB > 512KB
1784813675759	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1631KB > 512KB
1784813675838	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1645KB > 512KB
1784813675917	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1588KB > 512KB
1784813676050	/roller-ui/login.rol	1	heapDelta: 1622KB > 512KB
1784813676281	/roller-ui/authoring/entryAdd.rol?weblog=basquin <<salt=input:salt	1	heapDelta: 1765KB > 512KB
1784813677108	/basquin/search?q=velocity	2	latency: 517ms > 250ms
1784813677244	/basquin/?page=255	1	heapDelta: 1026KB > 512KB
1784813677385	/basquin/entry/bench-entry-05	1	heapDelta: 2614KB > 512KB
1784813678205	/basquin/search?q=velocity	2	latency: 517ms > 250ms
1784813678341	/roller-ui/login.rol	1	heapDelta: 4802KB > 512KB
1784813678570	/roller-ui/menu.rol	1	heapDelta: 1679KB > 512KB
1784813678650	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1707KB > 512KB
1784813678730	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1566KB > 512KB
1784813678811	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1651KB > 512KB
1784813678891	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1567KB > 512KB
1784813679182	/roller-ui/login.rol	1	heapDelta: 1646KB > 512KB
1784813679410	/roller-ui/menu.rol	1	heapDelta: 1524KB > 512KB
1784813679490	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 1638KB > 512KB
1784813679570	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1654KB > 512KB
1784813679648	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1544KB > 512KB
1784813679728	/roller-ui/admin/globalConfig.rol	1	heapDelta: 1690KB > 512KB
1784813680509	/basquin/search?q=velocity	2	latency: 516ms > 250ms
1784813681081	/roller-ui/login.rol	1	heapDelta: 1603KB > 512KB
1784813681945	/basquin/search?q=lucene	2	latency: 517ms > 250ms
1784813682076	/roller-ui/login.rol	1	heapDelta: 1622KB > 512KB
1784813682303	/roller-ui/menu.rol	1	heapDelta: 1690KB > 512KB
1784813682386	/roller-ui/authoring/entries.rol?weblog=basquin	1	heapDelta: 4842KB > 512KB
1784813682465	/roller-ui/authoring/comments.rol?weblog=basquin	1	heapDelta: 1699KB > 512KB
1784813682544	/roller-ui/authoring/categories.rol?weblog=basquin	1	heapDelta: 1604KB > 512KB
