Class Name, Initialization Kind, Reason for Initialization
com.fasterxml.jackson.core.base.ParserMinimalBase, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.exc.InputCoercionException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.exc.StreamConstraintsException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.exc.StreamReadException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.exc.StreamWriteException, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.filter.FilteringParserDelegate, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.filter.TokenFilter, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.filter.TokenFilter$Inclusion, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.filter.TokenFilter$Inclusion[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.filter.TokenFilterContext, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.AbstractBigDecimalParser, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.AbstractBigIntegerParser, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.AbstractFloatValueParser, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.AbstractJavaFloatingPointBitsFromCharArray, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.AbstractJavaFloatingPointBitsFromCharSequence, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.AbstractNumberParser, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.BigSignificand, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.FastDoubleMath, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.FastDoubleSwar, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.FastFloatMath, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.FastIntegerMath, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.FftMultiplier, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.FftMultiplier$ComplexVector, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.FftMultiplier$ComplexVector[], BUILD_TIME, arrays are initialized at build time
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.FftMultiplier$MutableComplex, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.JavaBigDecimalFromCharArray, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.JavaBigDecimalFromCharSequence, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.JavaBigDecimalParser, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.JavaBigIntegerFromCharSequence, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.JavaBigIntegerParser, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.JavaDoubleBitsFromCharArray, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.JavaDoubleBitsFromCharSequence, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.JavaDoubleParser, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.JavaFloatBitsFromCharArray, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.JavaFloatBitsFromCharSequence, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
com.fasterxml.jackson.core.internal.shaded.fdp.v2_22_0.JavaFloatParser, BUILD_TIME, from feature io.quarkus.runner.Feature.duringSetup with ''
