Class or Package Name, Initialization Kind, Reasons
com.oracle.svm.core.jdk.Target_java_util_TreeMap_KeySet, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_WeakHashMap, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_CompletableFuture, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ConcurrentHashMap, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ConcurrentHashMap_EntrySetView, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ConcurrentHashMap_KeySetView, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ConcurrentHashMap_ValuesView, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ConcurrentSkipListMap, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ConcurrentSkipListMap_EntrySet, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ConcurrentSkipListMap_KeySet, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ConcurrentSkipListMap_SubMap, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ConcurrentSkipListMap_Values, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_DelayScheduler, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ForkJoinPool, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ForkJoinTask, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ForkJoinTask_Aux, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ForkJoinTask_InterruptibleTask, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_LinkedTransferQueue_DualNode, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_Phaser, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_ThreadLocalRandom, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_atomic_AtomicIntegerFieldUpdater_AtomicIntegerFieldUpdaterImpl, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_atomic_AtomicLongFieldUpdater_CASUpdater, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_atomic_AtomicReferenceFieldUpdater_AtomicReferenceFieldUpdaterImpl, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_concurrent_atomic_Striped64, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_logging_LogManager, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_logging_LogManager_Cleaner, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_logging_SimpleFormatter, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_zip_ZipFile_Source, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_java_util_zip_ZipFile_Source_Key, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_javax_crypto_CryptoAllPermission, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_javax_crypto_CryptoPermission, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_javax_crypto_JceSecurity, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_javax_crypto_JceSecurityManager, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_javax_crypto_JceSecurity_WeakIdentityWrapper, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_javax_crypto_ProviderVerifier, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_jdk_internal_access_JavaAWTAccess, BUILD_TIME, substitutions are always initialized
com.oracle.svm.core.jdk.Target_jdk_internal_access_JavaIOAccess, BUILD_TIME, substitutions are always initialized
