Class Name, Initialization Kind, Reason for Initialization
com.oracle.svm.core.MissingRegistrationUtils$$Lambda/0x0000000038467690, BUILD_TIME, proxy/lambda classes with all interfaces explicitly marked as --initialize-at-build-time are also initialized at build time
com.oracle.svm.core.MissingRegistrationUtils$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.MissingRegistrationUtils$ExitException, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.NativeSecureRandomFilesCloserTearDownHook, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.NeverInline, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.NeverInline[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.RegisterDumper, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.RegisterSigQuitHandlerStartupHook, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SigQuitHandler, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.StaticFieldsSupport, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DiagnosticLevel, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DiagnosticThunk, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DiagnosticThunkRegistry, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DiagnosticThunk[], BUILD_TIME, arrays are initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpBuildTimeInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCommandLine, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCurrentThreadDecodedStackTrace, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCurrentThreadFrameAnchors, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCurrentThreadLocals, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpCurrentVMOperation, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpInstructions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpOtherStackTraces, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpRegisters, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpRuntimeInfo, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpThreads, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpTopOfCurrentThreadStack, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$DumpVMOperationHistory, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$ErrorContext, BUILD_TIME, classes annotated with RawStructure are always initialized at image build time
com.oracle.svm.core.SubstrateDiagnostics$FatalErrorState, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$ImageCodeLocationInfoPrinter, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$Options, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$Options$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateDiagnostics$Options$2, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateExitHandlerStartupHook, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions$1, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions$2, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions$3, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateGCOptions$TlabOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$10, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$11, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$ConcealedOptions, BUILD_TIME, Native Image classes are always initialized at build time
com.oracle.svm.core.SubstrateOptions$DeprecatedOptions, BUILD_TIME, Native Image classes are always initialized at build time
